Invoice ID;Rating
226-31-3081;9,6
226-34-0034;9
226-71-3580;9,5
227-03-5010;8,5
227-07-4446;4,4
227-50-3718;4,4
227-78-1148;8,4
228-96-1411;7,6
232-11-3025;6,4
232-16-2483;6,8
233-34-0817;8,4
233-67-5758;6,2
234-03-4040;8,7
234-36-2483;5,1
234-65-2137;4,8
235-06-8510;5,1
235-46-8343;8,9
236-27-1144;8,4
236-86-3015;9,8
237-01-6122;9,5
237-44-6163;7,6
238-45-6950;6,4
238-49-0436;4,9
239-10-7476;8
239-36-3640;6,1
239-48-4278;8,3
241-11-2261;5,5
241-72-9525;8,2
241-96-5076;6,4
242-11-3142;4,6
242-55-6721;6,5
243-47-2663;5,5
243-55-8457;5,1
244-08-0162;5,1
246-11-3901;6,2
246-55-6923;5,1
247-11-2470;4,4
249-42-3782;5,5
250-17-5703;5,6
250-81-7186;8
252-56-2699;8,2
253-12-6086;8,7
254-31-0042;7,8
256-08-8343;5,5
256-58-3609;9,8
257-60-7754;9
257-73-1380;9,6
258-69-7810;9,2
258-92-7466;6,6
261-12-8671;4,9
262-47-2794;6,2
263-10-3913;8,6
263-12-5321;9,3
263-87-5680;7,8
266-20-6657;5,2
266-76-6436;7,5
267-62-7380;4,3
268-03-6164;7,8
268-20-3585;6
268-27-6179;7,3
269-04-5750;6,7
269-10-8440;8,9
271-77-8740;5
271-88-8734;8,7
272-27-9238;7,1
272-65-1806;4,7
273-16-6619;4,4
273-84-2164;5,5
274-05-5470;6
275-28-0149;6
276-54-0879;6,4
276-75-6884;8,7
277-35-5865;6,7
277-63-2961;5,4
278-86-2735;9,2
278-97-7759;4,7
279-62-1445;8,2
279-74-2924;6,1
280-17-4359;8,1
280-35-5823;7,9
282-35-2475;6,3
283-26-5248;4,5
283-79-9594;5,2
284-34-9626;7,2
284-54-4231;9
285-68-5083;10
286-01-5402;9,6
286-43-6208;9,2
286-62-6248;9
286-75-7818;6,9
287-21-9091;9,4
287-83-1405;7
288-38-3758;7,4
288-62-1085;5,6
289-15-7034;7,5
289-65-5721;6,5
290-68-2984;5,2
291-21-5991;7
291-32-1427;5,3
291-55-6563;7,5
291-59-1384;6
296-11-7041;5,3
299-29-0180;9,3
299-46-1805;4,5
300-71-4605;4,8
301-11-9629;9,7
301-81-8610;6,7
302-15-2162;4,3
303-96-2227;4,4
305-03-2383;7,5
305-14-0245;7,5
305-18-3552;6
305-89-2768;4,7
307-04-2070;4,1
307-83-9164;4,5
307-85-2293;9,7
308-39-1707;8,2
308-47-4913;6,2
308-81-0538;4,9
311-13-6971;9,9
313-66-9943;7,3
314-23-4520;9
315-22-5665;8
316-01-3952;4,6
316-55-4634;9,4
316-66-3011;5
316-68-6352;7,1
318-12-0304;5,2
318-68-5053;6,1
318-81-2368;6,3
319-50-3348;4,4
319-74-2561;5,5
320-32-8842;6,4
320-49-6392;8,4
320-85-2052;7
321-49-7382;5,2
322-02-2271;9,3
324-41-6833;5,1
324-92-3863;9,8
325-77-6186;7,3
325-89-4209;6,7
325-90-8763;7,6
326-71-2155;6,1
326-78-5178;9,5
327-40-9673;6,9
329-62-1586;8,6
333-23-2632;4,2
333-73-7901;7,6
334-64-2006;9,6
336-78-2147;4,6
338-65-2210;9,1
339-12-4827;5
339-18-7061;8
339-38-9982;6,7
339-96-8318;6,3
340-21-9136;9,7
340-66-0321;7,6
342-65-4817;9,9
343-61-3544;8,6
343-75-9322;4,1
343-87-0864;7,1
345-08-4992;7,7
345-68-9016;5,6
346-12-3257;8
346-84-3103;4,3
347-34-2234;10
347-56-2442;4,1
347-72-6115;6,2
349-97-8902;8,9
351-62-0822;4,5
354-25-5821;5,6
354-39-5160;9,8
355-34-6244;8,1
355-53-5943;5,8
356-44-8813;7,7
358-88-9262;5,1
359-90-3665;9,5
359-94-5395;9,8
360-39-5055;6,6
361-59-0574;6,5
361-85-2571;7,4
362-58-8315;9,9
364-33-8584;8,5
364-34-2972;6,7
365-16-4334;8,9
365-64-0515;7,1
366-43-6862;6,7
366-93-0948;9,7
369-82-2676;7,8
370-41-7321;8,4
370-96-0655;7,1
371-85-5789;5,1
372-26-1506;5,4
372-62-5264;7,6
372-94-8041;9,8
373-09-4567;6,9
373-14-0504;8,8
373-73-7910;5,3
373-88-1424;7,9
374-17-3652;8,9
374-38-5555;8,5
375-72-3056;7
376-02-8238;8,3
376-56-3573;6,4
377-79-7592;7,5
378-07-7001;7,8
378-24-2715;4,1
379-17-6588;5,3
380-60-5336;5
380-94-4661;6,9
381-20-0914;5,7
382-03-4532;4,3
382-25-8917;8,9
384-59-6655;8,4
386-27-7606;8,1
387-49-4215;6,7
388-76-2555;6,3
389-25-3394;9,4
389-70-2397;7,2
390-17-5806;8,6
390-31-6381;7,3
390-80-5128;9,5
393-65-2792;9,6
394-30-3170;4,3
394-41-0748;9,5
394-43-4238;5,4
394-55-6384;6,7
396-90-2219;8,6
397-25-8725;6,8
399-46-5918;8,2
399-69-4630;8,6
400-45-1220;4,8
400-60-7251;9,9
400-80-4065;9,2
400-89-4171;9,3
401-09-4232;9,4
401-18-8016;8,9
404-91-5964;9
405-31-3305;5,5
406-46-7107;4,5
407-63-8975;4,4
408-26-9866;4,1
408-66-6712;4,4
409-33-9708;9,2
409-49-6995;8,8
410-67-1709;9,9
411-77-0180;4,3
413-20-6708;8,5
414-12-7047;8,7
416-13-5917;9,3
416-17-9926;4,3
418-02-5978;8
418-05-0656;7,1
420-04-7590;4,7
420-11-4919;5,5
420-18-8989;9,6
420-97-3340;9,2
421-95-9805;6,2
422-29-8786;9,1
423-57-2993;10
423-64-4619;5
423-80-0988;6,5
425-85-2085;9,8
426-39-2418;9,8
427-45-9297;5,4
428-83-5800;7,3
430-02-3888;7,1
430-53-4718;8,4
430-60-3493;4,2
431-66-2305;7,6
433-08-7822;7,5
433-75-6987;8,9
434-35-9162;7,4
434-83-9547;7,7
435-13-4908;7,2
436-54-4512;9,8
437-53-3084;7,1
437-58-8131;4,6
438-01-4015;6,6
438-23-1242;8,9
439-54-7422;4,7
440-59-5691;7,7
441-94-7118;7,3
442-44-6497;5,9
442-48-3607;7,9
443-59-0061;4,2
443-60-9639;5,5
443-82-0585;8,4
445-30-9252;6,1
446-47-6729;6,7
447-15-7839;4,2
448-34-8700;6,7
448-61-3783;4,5
448-81-5016;5,8
449-16-6770;5,3
449-27-2918;9,6
450-28-2866;8,1
450-42-3339;8,8
451-28-5717;7,3
451-73-2711;8,8
452-04-8808;5,5
453-12-7053;6,5
453-33-6436;6,8
453-63-6187;6,5
457-12-0244;6,5
457-13-1708;5,2
457-94-0464;5,6
458-10-8612;7,6
458-41-1477;9,5
458-61-0011;5,8
459-45-2396;5,8
459-50-7686;6,4
460-35-4390;9,1
460-93-5834;5
462-67-9126;7,2
462-78-5240;4,2
466-61-5506;5,3
468-01-2051;5,4
468-88-0009;6
468-99-7231;8,8
470-31-3286;8,7
470-32-9057;9,1
471-06-8611;6,3
471-41-2823;8
472-15-9636;9,2
474-33-8305;6,9
477-24-6490;7,9
477-59-2456;9,2
478-06-7835;4,9
479-26-8945;4,6
480-63-2856;6,6
482-17-1179;8,1
483-71-1164;5,3
484-22-8230;4,5
485-30-8700;4,2
487-79-6868;8
488-25-4221;8,4
489-64-4354;5
489-82-1237;7,3
490-29-1201;6,5
490-95-0021;6
491-38-3499;4,9
493-65-6248;7
497-36-0989;7,9
497-37-6538;9,7
498-41-1961;7,6
499-27-7781;5
500-02-2261;5,9
501-61-1753;9,8
502-05-1910;6,3
503-07-0930;8,2
503-21-4385;9,3
504-35-8843;5,7
505-02-0892;5,6
509-10-0516;5,1
509-29-3912;4,2
510-09-5628;7,2
510-79-0415;4,9
510-95-6347;4
511-54-3087;9,5
512-91-0811;6,6
512-98-1403;4,7
514-37-2845;9
516-77-6464;4,1
518-17-2983;7,6
518-71-6847;4,9
521-18-7827;8,7
522-57-8364;7,6
523-38-0215;7,9
525-09-8450;4,2
525-88-7307;5,8
526-86-8552;7,1
527-09-6272;9,1
528-14-9470;9,2
528-87-5606;6,5
529-56-3974;6,8
530-90-9855;5,7
531-56-4728;5,4
531-80-1784;5,1
532-59-7201;5,5
533-33-5337;6,2
533-66-5566;7
534-01-4457;8
534-53-3526;7,8
537-72-0426;5,7
538-22-0304;5,2
539-21-7227;4,2
540-11-4336;5,6
541-08-3113;8,4
541-48-8554;6
541-89-9860;8,1
542-41-0513;6,6
544-32-5024;6,4
544-55-9589;6,2
545-07-8534;6
545-46-3100;8,7
546-80-2899;9,5
548-46-9322;5,9
548-48-3156;7,6
549-03-9315;8,7
549-23-9016;8,9
549-59-1358;6
549-84-7482;7,2
549-96-4200;7
550-84-8664;8,6
551-21-3069;4,9
552-44-5977;6,2
554-42-2417;5,2
554-53-3790;4,5
554-53-8700;6,3
556-41-6224;9,3
556-72-8512;4,3
556-86-3144;5
556-97-7101;8,5
558-60-5016;7,2
558-80-4082;6
559-61-5987;8,6
559-98-9873;5,2
560-30-5617;8,5
560-49-6611;9,8
562-12-5430;7,9
563-36-9814;7,2
563-47-4072;9,9
563-91-7120;6,7
565-17-3836;9,1
565-67-6697;4,8
565-80-5980;7,1
565-91-4567;6,2
566-19-5475;6,2
566-71-1091;5,5
568-88-3448;5,5
568-90-5112;5,6
569-71-4390;6,9
569-76-2760;6,6
571-94-0759;9,5
573-10-3877;4,7
573-58-9734;5,1
573-98-8548;9,1
574-22-5561;7,9
574-31-8277;5,6
574-57-9721;5,7
574-80-1489;8,7
575-30-8091;9,2
575-67-1508;6,7
576-31-4774;4
577-34-7579;5,4
578-80-7669;5,6
582-52-8065;8,9
583-41-4548;7,4
583-72-1480;9,7
584-66-4073;9,6
584-86-7256;7,3
585-03-5943;5,9
585-11-6748;5,3
585-86-8361;8,6
585-90-0249;9,7
586-25-0848;6,7
587-03-7455;4,9
587-73-4862;7,6
588-01-7461;4,2
588-47-8641;4,4
589-02-8023;7
590-83-4591;8,8
592-34-6155;6,2
592-46-1692;7,4
593-08-5916;7,4
593-14-4239;4,7
593-65-1552;5,9
593-95-4461;6,9
594-34-4444;7,2
595-11-5460;5,1
595-27-4851;9,3
595-86-2894;9,4
595-94-9924;4,2
596-42-3999;6,6
597-78-7908;6,2
598-06-7312;6,8
598-47-9715;4,4
600-38-9738;4,3
602-16-6955;6
602-80-9671;5,1
603-07-0961;4,9
604-70-6476;6,8
605-03-2706;9,5
605-72-4132;9,1
605-83-1050;4,3
606-80-4905;6,8
607-65-2441;6
607-76-6216;8,6
608-04-3797;8,7
608-05-3804;6,1
608-27-6295;9,8
608-96-3517;4,8
609-81-8548;5,9
610-46-4100;6
612-36-5536;7,4
613-59-9758;5,4
616-24-2851;6,5
616-87-0016;9,6
617-15-4209;7,2
618-34-8551;8,5
620-02-2046;9
622-20-1945;8,4
624-01-8356;4,2
626-43-7888;9,6
627-95-3243;9,8
628-34-3388;7,9
628-90-8624;5
629-42-4133;8,3
630-74-5166;7,4
631-34-1880;4,3
631-41-3108;7,4
632-32-4574;5,5
632-90-0281;9,3
633-09-3463;9,5
633-44-8566;7,3
633-91-1052;5,1
634-97-8956;9,1
635-28-5728;4,8
635-40-6220;6,6
636-17-0325;9,5
636-48-8204;9,9
636-98-3364;6,3
638-60-7125;5,2
639-76-1242;4,5
640-48-5028;6,3
640-49-2076;5,1
641-43-2399;5,7
641-51-2661;9,9
641-62-7288;7,1
641-96-3695;8,5
642-30-6693;7,8
642-32-2990;6
642-61-4706;5,5
643-38-7867;6,9
645-44-1170;4,3
645-78-8093;4,1
647-50-1224;8,9
648-83-1321;4,3
648-94-3045;8,1
649-11-3678;5,5
649-29-6775;6,7
650-98-6268;8
651-61-0874;6,2
651-88-7328;7,7
651-96-5970;4
652-43-6591;6,2
652-49-6720;5,9
655-07-2265;5,4
655-85-5130;5,7
656-16-1063;4,4
656-95-9349;4,6
658-66-3967;5
659-36-1684;6,5
659-65-8956;5,2
660-29-7083;5,8
662-47-5456;8,4
662-72-2873;9,9
663-86-9076;8,5
664-14-2882;5,8
665-32-9167;7,2
665-63-9737;7,5
667-23-5919;7
667-92-0055;8,5
668-90-8900;4,5
669-54-1719;8,1
670-71-7306;5,1
670-79-6321;4,9
672-51-8681;9,7
674-15-9296;5
674-56-6360;6
676-10-2200;4,7
676-39-6028;6,6
677-11-0152;8,8
678-79-0726;5,1
679-22-6530;4,1
685-64-1609;9,2
686-41-0932;8,2
687-15-1097;9,7
687-47-8271;8,7
689-05-1884;8,8
689-16-9784;6
690-01-6631;6,6
692-27-8933;5,2
692-92-5582;5,9
695-09-5146;6,4
695-28-6250;7,7
695-51-0018;7,4
696-90-2548;6,6
698-98-5964;6,3
699-01-4164;8,2
699-14-3026;4,1
699-88-1972;4,2
700-81-1757;8,8
701-23-5550;4,9
701-69-8742;6,7
702-72-0487;6,6
702-83-5291;6,6
704-10-4056;5,6
704-11-6354;8,9
704-20-4138;8,1
704-48-3927;7,3
706-36-6154;8,7
707-32-7409;4,5
709-58-4068;7,3
710-46-4433;4,5
711-31-1234;7,9
712-39-0363;5,6
714-02-3114;7,7
715-20-1673;9,4
716-39-1409;8
717-96-4189;4,1
718-57-9773;9,4
719-76-3868;8,6
719-89-8991;7,1
720-72-2436;6,9
721-86-6247;7,4
722-13-2115;9,3
725-32-9708;4,1
725-54-0677;5,3
725-56-0833;10
725-67-2480;5,9
725-96-3778;4,7
726-27-2396;4,3
726-29-6793;9,8
727-02-1313;7,7
727-17-0390;4,8
727-46-3608;4,1
727-75-6477;6,4
728-47-9078;9,8
728-88-7867;8,3
729-06-2010;9,2
729-09-9681;8,7
729-46-7422;7,9
730-50-9884;4
730-61-8757;4
730-70-9830;5,2
