;longitude;latitude;altitude;type_habitat
4116;-1,361516269;-1,688957848;0;1
1352;1,648954138;-1,68705873;14;2
2255;1,47050799;-1,686267407;9;2
3848;0,159356731;-1,685993852;0;1
1098;-0,545902369;-1,684901811;0;1
1448;-1,084860298;-1,684883503;0;1
3444;0,980423166;-1,6848384;11;2
1751;0,645021738;-1,68356607;11;1
1606;1,376879488;-1,683147022;16;2
4649;-1,058534574;-1,683113267;0;1
2064;0,475453252;-1,682750019;0;1
2098;0,169527936;-1,682590671;0;1
5167;0,436169147;-1,682347029;0;1
5695;1,508951229;-1,681302058;11;2
1294;0,016047225;-1,6803194;0;1
1614;-1,397069371;-1,677106183;0;1
2318;-0,514215998;-1,674580176;0;1
3841;-0,354081191;-1,674338581;0;1
1850;-0,955818148;-1,673810189;0;1
3509;0,240338261;-1,673341099;0;1
2657;-1,482112674;-1,671534429;0;1
2105;-0,557918972;-1,671496336;0;1
5143;-0,961454157;-1,671315339;0;1
3020;0,799991838;-1,671063678;21;1
5497;1,726002891;-1,670981853;12;2
4388;-1,095434746;-1,670664848;0;1
4036;-1,572367071;-1,669566362;0;1
2553;0,089575256;-1,668608883;0;1
1565;0,740764195;-1,664174713;23;1
2982;-0,131180859;-1,663416236;0;1
5056;-1,244654329;-1,663293789;0;1
5268;-0,659408722;-1,663046494;0;1
992;-0,34760909;-1,661401826;0;1
1533;1,002845198;-1,661043847;24;1
4737;0,219977628;-1,659373311;0;1
2450;-1,830092127;-1,658818737;0;1
2741;-0,743754409;-1,658307701;0;1
2955;0,994673727;-1,656802247;11;1
4671;-0,546132547;-1,656093343;0;1
5715;-0,048230181;-1,655955951;0;1
2486;-0,347490789;-1,655765442;0;1
1994;-1,772000542;-1,655718849;0;1
4714;1,15601038;-1,653687639;11;2
1146;-1,337018218;-1,652864041;0;1
3508;0,78014438;-1,651947968;21;1
4017;-1,794043134;-1,651303227;0;1
2789;-1,232045313;-1,650508301;0;1
2161;-0,053708835;-1,648659455;0;1
1361;1,416121996;-1,647938948;8;2
363;-1,251361709;-1,647914131;0;1
5491;0,197518437;-1,647753863;0;1
2917;0,322189722;-1,645708003;0;1
2838;0,165633662;-1,644638246;0;1
4625;2,026887722;-1,644291438;28;2
291;-1,043225722;-1,644054019;0;1
3761;-1,236729222;-1,643553932;0;1
2560;0,017584881;-1,643435952;0;1
3445;-1,434820475;-1,642447038;0;1
1800;1,772194082;-1,641934064;26;2
1821;-0,795772483;-1,641292686;0;1
1933;0,424415531;-1,64070402;0;1
5179;0,740886546;-1,640312112;28;1
2079;-0,929381009;-1,639644702;0;1
4052;1,48263174;-1,63870214;17;2
4526;1,59796885;-1,637409567;10;2
4756;-1,701900016;-1,636946418;0;1
5902;0,30251912;-1,635269253;0;1
911;-1,743284531;-1,634519686;0;1
1969;1,808033673;-1,633333343;20;2
2666;-0,981430221;-1,633304467;0;1
5100;-0,384595803;-1,632720726;0;1
2859;0,290666693;-1,632229813;0;1
1556;-1,82976157;-1,632076312;0;1
862;-0,926156485;-1,629656293;0;1
5841;0,326885437;-1,629370537;0;1
5975;-0,166187984;-1,628461483;0;1
5540;-0,840645879;-1,627531594;0;1
117;-1,802741815;-1,624058174;0;1
4565;1,20862961;-1,623291826;9;2
3517;-0,851487116;-1,623022814;0;1
4543;1,661039841;-1,621254242;21;2
1855;1,595508047;-1,620312273;18;2
393;0,991952327;-1,619728822;11;2
4402;-1,83941241;-1,618717393;0;1
3535;-0,121651463;-1,618454337;0;1
644;1,095578693;-1,616779332;12;1
4303;-1,574325773;-1,616761332;0;1
2931;-0,387852794;-1,61633203;0;1
4759;1,94923267;-1,616211838;8;2
2795;0,694744562;-1,615722772;23;1
4032;1,142444549;-1,61482035;22;2
4217;0,79616418;-1,614379586;21;1
2310;0,39892122;-1,613383407;0;1
1009;-0,441630532;-1,613200362;0;1
4202;1,016347987;-1,611570511;24;2
2785;0,085602373;-1,611321835;0;1
520;1,712413263;-1,611272573;27;2
1698;0,519985395;-1,610484823;12;1
233;0,708034976;-1,609611389;20;1
4169;-0,345191987;-1,609584845;0;1
2678;-1,551537687;-1,609363523;0;1
1929;0,569203471;-1,609092355;26;1
4634;-0,732471964;-1,609091749;0;1
4238;2,001432445;-1,608869641;27;2
1267;-0,282099459;-1,608302825;0;1
5310;1,563644043;-1,605263152;19;2
1319;1,699945455;-1,604768801;16;2
869;-0,132642415;-1,604752518;0;1
2706;-0,318699015;-1,604571695;0;1
1085;0,221043172;-1,6038234;0;1
3513;-0,025490049;-1,603116584;0;1
4611;2,000553625;-1,602671651;25;2
5816;1,73966137;-1,602463705;25;2
4500;-1,639539413;-1,601616821;0;1
656;-0,059742006;-1,600758627;0;1
1496;-0,353208826;-1,600265007;0;1
2723;1,289540616;-1,599731847;22;2
2694;-0,221999184;-1,599374147;0;1
2447;-0,253260009;-1,598667378;0;1
5572;-1,037448738;-1,598318688;0;1
4820;-0,668944926;-1,598185771;0;1
4309;-0,010716212;-1,5981563;0;1
4556;-1,171161594;-1,598056943;0;1
2512;0,65021924;-1,597503694;25;1
5648;0,077315723;-1,596887665;0;1
434;1,300358365;-1,594991015;9;2
3059;1,021774941;-1,594120679;21;2
2326;0,155393896;-1,593795476;0;1
4095;-1,500139492;-1,592249314;0;1
710;-1,31668591;-1,590880264;0;1
34;-0,774692156;-1,590203747;0;1
2918;0,239943731;-1,5901386;0;1
4171;-0,811638269;-1,589994665;0;1
582;1,806331367;-1,588687055;19;2
5843;-0,116427105;-1,587693584;0;1
407;0,874170272;-1,587652352;25;2
218;-0,909800443;-1,587232758;0;1
2583;-0,322297117;-1,587114674;0;1
293;0,101584952;-1,586603387;0;1
164;1,889207665;-1,586222677;20;2
3672;0,950477945;-1,585926519;27;1
1332;1,57594392;-1,585011489;19;2
756;-1,452164152;-1,58482297;0;1
3308;0,536982378;-1,583664522;22;1
650;0,825773412;-1,583618786;11;1
3574;1,660687411;-1,582692674;28;2
3577;1,377720948;-1,582168461;23;2
278;0,072963227;-1,58206738;0;1
5729;-0,925526539;-1,5818547;0;1
4985;-0,921488289;-1,580846873;0;1
3215;0,526980956;-1,580739947;18;1
2223;1,787759067;-1,580661582;29;2
2623;-1,366356802;-1,579964567;0;1
4801;-1,324228084;-1,579505302;0;1
5455;-0,076588449;-1,579407924;0;1
5802;1,076691172;-1,578106943;25;2
3216;-0,139694792;-1,577026978;0;1
2291;2,151435809;-1,576985425;25;2
4778;0,882267666;-1,57692382;22;1
4039;0,428949798;-1,576347367;0;1
3993;-1,722061122;-1,575761634;0;1
3260;0,682212629;-1,574342114;13;1
5433;-0,92727275;-1,573409737;0;1
5139;0,853681665;-1,573261417;14;1
1001;1,251149035;-1,573095646;27;2
3671;-1,653747494;-1,572700073;0;1
5108;0,205176637;-1,570400192;0;1
5784;-0,751540431;-1,570032394;0;1
4097;-1,023768667;-1,569365751;0;1
3010;1,266760669;-1,567954511;20;2
235;1,281132911;-1,566954295;23;2
1475;-0,109878845;-1,566894977;0;1
5088;2,026942148;-1,564258282;10;2
2032;-0,538804501;-1,562406823;0;1
2052;1,366496165;-1,562258066;28;2
4920;-1,626788654;-1,561973958;0;1
139;1,110367504;-1,561851866;28;2
5467;1,407249747;-1,560644175;13;2
5670;-1,154694443;-1,55969282;0;1
4710;1,608454889;-1,558967895;29;2
849;0,120517709;-1,558737679;0;1
5594;1,157755652;-1,558698018;10;1
1515;-0,123309509;-1,557847131;0;1
4264;-1,308065041;-1,557262709;0;1
4487;-0,237593286;-1,55622722;0;1
2644;-0,084291079;-1,55588772;0;1
4022;0,298213547;-1,555777067;0;1
629;-0,741765686;-1,555653535;0;1
4418;-1,423041465;-1,555321087;0;1
3332;-1,449399099;-1,555001278;0;1
1140;0,106538567;-1,55347128;0;1
5171;-0,17450989;-1,553007257;0;1
3099;-0,480832644;-1,552403137;0;1
4425;-1,860678259;-1,551272698;0;1
5315;0,250582829;-1,550933953;0;1
1327;1,398824023;-1,550733321;27;2
5200;-0,890830387;-1,550598642;0;1
1551;-0,053868886;-1,550000581;0;1
5718;-0,475726837;-1,549806043;0;1
4449;0,127879029;-1,549281801;0;1
5153;-0,331477226;-1,547916183;0;1
319;0,819676624;-1,547619834;19;1
5254;1,126677987;-1,547556053;17;2
5019;0,498337273;-1,546687823;0;1
1893;-0,438247472;-1,54626671;0;1
3863;-1,033697557;-1,545833966;0;1
4047;0,424961631;-1,545339055;0;1
4277;-1,862289752;-1,545062698;0;1
2457;1,31152489;-1,544929944;18;2
5901;1,148178772;-1,543449961;21;2
5805;-1,109295845;-1,543439236;0;1
2278;-1,349608548;-1,543247482;0;1
3251;-0,379467525;-1,541414282;0;1
2044;1,554698958;-1,541228475;17;2
2701;-1,140949988;-1,540760483;0;1
1019;-0,354498764;-1,538788546;0;1
502;-1,044317418;-1,538322176;0;1
1701;-0,89012236;-1,538132165;0;1
5452;-0,454225086;-1,538114116;0;1
4110;-0,131212922;-1,538020341;0;1
4658;0,623606729;-1,537609135;24;1
5189;-1,211198709;-1,537079982;0;1
3064;0,69130043;-1,53680995;20;1
3176;1,93057836;-1,536485184;21;2
3054;0,524552795;-1,536143009;25;1
5967;-1,657708337;-1,53556495;0;1
1464;-0,729681593;-1,534630098;0;1
1874;0,233570812;-1,532887002;0;1
2304;0,269775855;-1,53152667;0;1
1305;-1,606221565;-1,531509899;0;1
53;-0,276358024;-1,531212998;0;1
4901;0,367667549;-1,530220019;0;1
3994;-0,971596505;-1,529198748;0;1
2970;1,681444067;-1,529120822;9;2
2088;-1,909479149;-1,528417214;0;1
2402;-1,066698345;-1,527275804;0;1
5213;0,803786253;-1,527242424;18;1
4679;-1,402708156;-1,527127289;0;1
